JupiterExpress_OH.EarthMJ2000Eq.X   JupiterExpress_OH.EarthMJ2000Eq.Y   JupiterExpress_OH.EarthMJ2000Eq.Z   JupiterExpress.ElapsedSecs   
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  0                            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  59.99999988125637            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  231.3750947127119            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  779.9176846048795            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  2416.866504738573            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  7066.877811576705            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  21530.71741367457            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  60819.46129216813            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  147219.4612921681            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  233619.4612921681            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  320019.4612921681            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  406419.4612921681            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  492819.4612921681            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  579219.4612921681            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  665619.4612921681            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  752019.4612921681            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  838419.4612921681            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  924819.4612921681            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  1011219.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  1097619.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  1184019.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  1270419.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  1356819.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  1443219.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  1529619.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  1616019.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  1702419.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  1788819.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  1875219.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  1961619.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  2048019.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  2134419.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  2220819.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  2307219.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  2393619.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  2480019.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  2566419.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  2652819.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  2739219.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  2825619.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  2912019.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  2998419.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  3084819.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  3171219.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  3257619.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  3344019.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  3430419.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  3516819.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  3603219.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  3689619.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  3776019.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  3862419.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  3948819.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  4035219.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  4121619.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  4208019.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  4294419.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  4380819.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  4467219.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  4553619.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  4640019.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  4726419.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  4812819.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  4899219.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  4985619.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  5072019.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  5158419.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  5244819.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  5331219.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  5417619.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  5504019.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  5590419.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  5676819.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  5763219.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  5849619.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  5936019.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  6022419.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  6108819.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  6195219.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  6281619.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  6368019.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  6454419.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  6540819.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  6627219.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  6713619.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  6800019.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  6886419.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  6972819.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  7059219.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  7145619.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  7232019.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  7318419.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  7404819.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  7491219.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  7577619.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  7664019.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  7750419.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  7836819.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  7923219.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  8009619.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  8096019.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  8182419.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  8268819.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  8355219.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  8441619.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  8528019.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  8614419.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  8700819.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  8787219.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  8873619.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  8960019.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  9046419.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  9132819.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  9219219.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  9305619.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  9392019.461292168            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  9478419.461292168            
