Target: JupiterExpress_Finite

Observer: Montegancedo
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
27 Mar 2032 05:34:04.943    27 Mar 2032 11:55:12.403      22867.460409    
28 Mar 2032 03:50:26.712    28 Mar 2032 11:52:00.473      28893.761276    
29 Mar 2032 03:46:59.097    29 Mar 2032 11:48:47.912      28908.814421    
30 Mar 2032 03:43:31.034    30 Mar 2032 11:45:34.709      28923.674421    
31 Mar 2032 03:40:02.520    31 Mar 2032 11:42:20.854      28938.333791    
01 Apr 2032 03:36:33.553    01 Apr 2032 11:39:06.337      28952.784701    
02 Apr 2032 03:33:04.129    02 Apr 2032 11:35:51.148      28967.019221    
03 Apr 2032 03:29:34.246    03 Apr 2032 11:32:35.275      28981.029630    
04 Apr 2032 03:26:03.899    04 Apr 2032 11:29:18.708      28994.808752    
05 Apr 2032 03:22:33.085    05 Apr 2032 11:26:01.435      29008.350208    
06 Apr 2032 03:19:01.798    06 Apr 2032 11:22:43.447      29021.648486    
07 Apr 2032 03:15:30.034    07 Apr 2032 11:19:24.733      29034.698754    
08 Apr 2032 03:11:57.788    08 Apr 2032 11:16:05.285      29047.496449    
09 Apr 2032 03:08:25.056    09 Apr 2032 11:12:45.093      29060.036769    
10 Apr 2032 03:04:51.834    10 Apr 2032 11:09:24.148      29072.314311    
11 Apr 2032 03:01:18.118    11 Apr 2032 11:06:02.441      29084.322966    
12 Apr 2032 02:57:43.906    12 Apr 2032 11:02:39.962      29096.056172    
13 Apr 2032 02:54:09.196    13 Apr 2032 10:59:16.703      29107.507296    
14 Apr 2032 02:50:33.986    14 Apr 2032 10:55:52.656      29118.670006    
15 Apr 2032 02:46:58.273    15 Apr 2032 10:52:27.812      29129.538482    
16 Apr 2032 02:43:22.055    16 Apr 2032 10:49:02.163      29140.107435    
17 Apr 2032 02:39:45.329    17 Apr 2032 10:45:35.701      29150.372041    
18 Apr 2032 02:36:08.092    18 Apr 2032 10:42:08.420      29160.327841    
19 Apr 2032 02:32:30.342    19 Apr 2032 10:38:40.313      29169.970656    
20 Apr 2032 02:28:52.076    20 Apr 2032 10:35:11.372      29179.296499    
21 Apr 2032 02:25:13.290    21 Apr 2032 10:31:41.592      29188.301503    
22 Apr 2032 02:21:33.983    22 Apr 2032 10:28:10.965      29196.981857    
23 Apr 2032 02:17:54.151    23 Apr 2032 10:24:39.485      29205.333693    
24 Apr 2032 02:14:13.792    24 Apr 2032 10:21:07.145      29213.352946    
25 Apr 2032 02:10:32.903    25 Apr 2032 10:17:33.939      29221.035179    
26 Apr 2032 02:06:51.483    26 Apr 2032 10:13:59.858      29228.375438    
27 Apr 2032 02:03:09.529    27 Apr 2032 10:10:24.897      29235.368222    
28 Apr 2032 01:59:27.038    28 Apr 2032 10:06:49.046      29242.007605    
29 Apr 2032 01:55:44.010    29 Apr 2032 10:03:12.298      29248.287513    
30 Apr 2032 01:52:00.441    30 Apr 2032 09:59:34.643      29254.202089    
01 May 2032 01:48:16.328    01 May 2032 09:55:56.074      29259.746069    
02 May 2032 01:44:31.668    02 May 2032 09:52:16.583      29264.915078    
03 May 2032 01:40:46.457    03 May 2032 09:48:36.163      29269.705697    
04 May 2032 01:37:00.691    04 May 2032 09:44:54.806      29274.115337    
05 May 2032 01:33:14.365    05 May 2032 09:41:12.507      29278.141909    
06 May 2032 01:29:27.477    06 May 2032 09:37:29.261      29281.783405    
07 May 2032 01:25:40.023    07 May 2032 09:33:45.061      29285.037561    
08 May 2032 01:21:52.001    08 May 2032 09:29:59.903      29287.901680    
09 May 2032 01:18:03.409    09 May 2032 09:26:13.782      29290.372713    
10 May 2032 01:14:14.246    10 May 2032 09:22:26.694      29292.447491    
11 May 2032 01:10:24.512    11 May 2032 09:18:38.635      29294.123064    
12 May 2032 01:06:34.204    12 May 2032 09:14:49.601      29295.396972    
13 May 2032 01:02:43.323    13 May 2032 09:10:59.591      29296.267399    
14 May 2032 00:58:51.868    14 May 2032 09:07:08.602      29296.733203    
15 May 2032 00:54:59.839    15 May 2032 09:03:16.632      29296.793849    
16 May 2032 00:51:07.233    16 May 2032 08:59:23.682      29296.449290    
17 May 2032 00:47:14.051    17 May 2032 08:55:29.751      29295.699852    
18 May 2032 00:43:20.292    18 May 2032 08:51:34.838      29294.546130    
19 May 2032 00:39:25.956    19 May 2032 08:47:38.945      29292.988929    
20 May 2032 00:35:31.042    20 May 2032 08:43:42.071      29291.029182    
21 May 2032 00:31:35.551    21 May 2032 08:39:44.219      29288.667864    
22 May 2032 00:27:39.483    22 May 2032 08:35:45.389      29285.905827    
23 May 2032 00:23:42.839    23 May 2032 08:31:45.582      29282.743625    
24 May 2032 00:19:45.619    24 May 2032 08:27:44.800      29279.181376    
25 May 2032 00:15:47.825    25 May 2032 08:23:43.044      29275.218743    
26 May 2032 00:11:49.458    26 May 2032 08:19:40.313      29270.855131    
27 May 2032 00:07:50.519    27 May 2032 08:15:36.609      29266.090078    
28 May 2032 00:03:51.010    28 May 2032 08:11:31.934      29260.923750    
28 May 2032 23:59:50.931    29 May 2032 08:07:26.288      29255.357365    
29 May 2032 23:55:50.281    30 May 2032 08:03:19.674      29249.393373    
30 May 2032 23:51:49.061    31 May 2032 07:59:12.096      29243.035345    
31 May 2032 23:47:47.271    01 Jun 2032 07:55:03.559      29236.287609    
01 Jun 2032 23:43:44.913    02 Jun 2032 07:50:54.068      29229.154816    
02 Jun 2032 23:39:41.987    03 Jun 2032 07:46:43.628      29221.641571    
03 Jun 2032 23:35:38.495    04 Jun 2032 07:42:32.247      29213.752249    
04 Jun 2032 23:31:34.442    05 Jun 2032 07:38:19.933      29205.491007    
05 Jun 2032 23:27:29.831    06 Jun 2032 07:34:06.693      29196.861975    
