Spacecraft: JupiterExpress_Finite

Start Time (UTC)            Stop Time (UTC)               Duration (s)    Occ Body        Type        Event Number  Total Duration (s)
27 Mar 2032 05:34:04.943    27 Mar 2032 06:05:00.298      1855.3546380    Jupiter         Umbra       1             1860.8136351
27 Mar 2032 06:05:00.298    27 Mar 2032 06:05:05.757      5.4589971201    Jupiter         Penumbra    1             1860.8136351
27 Mar 2032 17:23:01.294    27 Mar 2032 18:00:48.291      2266.9974949    Jupiter         Umbra       2             2266.9974949
28 Mar 2032 05:18:52.861    28 Mar 2032 05:56:36.551      2263.6901036    Jupiter         Umbra       3             2263.6901036
28 Mar 2032 17:14:42.073    28 Mar 2032 17:52:25.109      2263.0358770    Jupiter         Umbra       4             2263.0358770
29 Mar 2032 05:10:32.251    29 Mar 2032 05:48:13.499      2261.2473092    Jupiter         Umbra       5             2266.7496210
29 Mar 2032 05:48:13.499    29 Mar 2032 05:48:19.001      5.5023118621    Jupiter         Penumbra    5             2266.7496210
29 Mar 2032 17:06:21.885    29 Mar 2032 17:44:02.054      2260.1687022    Jupiter         Umbra       6             2265.6814049
29 Mar 2032 17:44:02.054    29 Mar 2032 17:44:07.567      5.5127026979    Jupiter         Penumbra    6             2265.6814049
30 Mar 2032 05:02:07.816    30 Mar 2032 05:39:51.137      2263.3207753    Jupiter         Umbra       7             2268.8326444
30 Mar 2032 05:39:51.137    30 Mar 2032 05:39:56.649      5.5118691176    Jupiter         Penumbra    7             2268.8326444
30 Mar 2032 16:57:53.471    30 Mar 2032 17:35:40.124      2266.6539259    Jupiter         Umbra       8             2272.1591314
30 Mar 2032 17:35:40.124    30 Mar 2032 17:35:45.630      5.5052055046    Jupiter         Penumbra    8             2272.1591314
31 Mar 2032 04:53:42.126    31 Mar 2032 05:31:28.666      2266.5394972    Jupiter         Umbra       9             2266.5394972
31 Mar 2032 16:49:30.414    31 Mar 2032 17:27:17.326      2266.9124477    Jupiter         Umbra       10            2266.9124477
01 Apr 2032 04:45:14.838    01 Apr 2032 04:45:17.047      2.2093485575    Jupiter         Penumbra    11            2271.3241342
01 Apr 2032 04:45:17.047    01 Apr 2032 05:23:06.162      2269.1147856    Jupiter         Umbra       11            2271.3241342
01 Apr 2032 16:41:03.730    01 Apr 2032 16:41:05.930      2.2001200821    Jupiter         Penumbra    12            2276.3715400
01 Apr 2032 16:41:05.930    01 Apr 2032 17:18:54.599      2268.6693809    Jupiter         Umbra       12            2276.3715400
01 Apr 2032 17:18:54.599    01 Apr 2032 17:19:00.102      5.5020390311    Jupiter         Penumbra    12            2276.3715400
02 Apr 2032 04:36:54.459    02 Apr 2032 04:36:56.660      2.2011975758    Jupiter         Penumbra    13            2273.8892430
02 Apr 2032 04:36:56.660    02 Apr 2032 05:14:42.840      2266.1798777    Jupiter         Umbra       13            2273.8892430
02 Apr 2032 05:14:42.840    02 Apr 2032 05:14:48.348      5.5081676692    Jupiter         Penumbra    13            2273.8892430
02 Apr 2032 16:32:43.453    02 Apr 2032 16:32:45.649      2.1965141874    Jupiter         Penumbra    14            2273.4163427
02 Apr 2032 16:32:45.649    02 Apr 2032 17:10:31.359      2265.7099057    Jupiter         Umbra       14            2273.4163427
02 Apr 2032 17:10:31.359    02 Apr 2032 17:10:36.869      5.5099228397    Jupiter         Penumbra    14            2273.4163427
03 Apr 2032 04:28:33.083    03 Apr 2032 04:28:35.273      2.1894161822    Jupiter         Penumbra    15            2272.1104417
03 Apr 2032 04:28:35.273    03 Apr 2032 05:06:19.684      2264.4110204    Jupiter         Umbra       15            2272.1104417
03 Apr 2032 05:06:19.684    03 Apr 2032 05:06:25.194      5.5100051919    Jupiter         Penumbra    15            2272.1104417
03 Apr 2032 16:24:28.924    03 Apr 2032 17:02:07.422      2258.4980740    Jupiter         Umbra       16            2258.4980740
04 Apr 2032 04:20:22.985    04 Apr 2032 04:57:55.213      2252.2289425    Jupiter         Umbra       17            2252.2289425
04 Apr 2032 16:16:14.557    04 Apr 2032 16:53:43.376      2248.8192201    Jupiter         Umbra       18            2254.3724634
04 Apr 2032 16:53:43.376    04 Apr 2032 16:53:48.929      5.5532432394    Jupiter         Penumbra    18            2254.3724634
05 Apr 2032 04:12:04.448    05 Apr 2032 04:12:06.686      2.2379052825    Jupiter         Penumbra    19            2252.5200582
05 Apr 2032 04:12:06.686    05 Apr 2032 04:49:31.402      2244.7155258    Jupiter         Umbra       19            2252.5200582
05 Apr 2032 04:49:31.402    05 Apr 2032 04:49:36.968      5.5666270433    Jupiter         Penumbra    19            2252.5200582
05 Apr 2032 16:07:59.320    05 Apr 2032 16:45:19.430      2240.1099942    Jupiter         Umbra       20            2245.6947111
05 Apr 2032 16:45:19.430    05 Apr 2032 16:45:25.014      5.5847168667    Jupiter         Penumbra    20            2245.6947111
06 Apr 2032 04:03:48.417    06 Apr 2032 04:41:08.047      2239.6298715    Jupiter         Umbra       21            2239.6298715
06 Apr 2032 15:59:33.494    06 Apr 2032 15:59:35.746      2.2524256725    Jupiter         Penumbra    22            2243.3252843
06 Apr 2032 15:59:35.746    06 Apr 2032 16:36:56.819      2241.0728586    Jupiter         Umbra       22            2243.3252843
07 Apr 2032 03:55:23.535    07 Apr 2032 03:55:25.788      2.2528317757    Jupiter         Penumbra    23            2241.5868891
07 Apr 2032 03:55:25.788    07 Apr 2032 04:32:45.122      2239.3340573    Jupiter         Umbra       23            2241.5868891
07 Apr 2032 15:51:14.021    07 Apr 2032 15:51:16.280      2.2590201348    Jupiter         Penumbra    24            2245.0234652
07 Apr 2032 15:51:16.280    07 Apr 2032 16:28:33.434      2237.1539099    Jupiter         Umbra       24            2245.0234652
07 Apr 2032 16:28:33.434    07 Apr 2032 16:28:39.044      5.6105352240    Jupiter         Penumbra    24            2245.0234652
08 Apr 2032 03:47:04.382    08 Apr 2032 04:24:22.095      2237.7136244    Jupiter         Umbra       25            2243.3267679
08 Apr 2032 04:24:22.095    08 Apr 2032 04:24:27.708      5.6131434627    Jupiter         Penumbra    25            2243.3267679
08 Apr 2032 15:42:53.498    08 Apr 2032 16:20:10.503      2237.0052478    Jupiter         Umbra       26            2242.6208738
08 Apr 2032 16:20:10.503    08 Apr 2032 16:20:16.119      5.6156259729    Jupiter         Penumbra    26            2242.6208738
09 Apr 2032 03:38:44.886    09 Apr 2032 04:15:58.604      2233.7179096    Jupiter         Umbra       27            2233.7179096
09 Apr 2032 15:34:34.601    09 Apr 2032 16:11:47.030      2232.4291731    Jupiter         Umbra       28            2232.4291731
10 Apr 2032 03:30:23.377    10 Apr 2032 04:07:35.516      2232.1388804    Jupiter         Umbra       29            2232.1388804
10 Apr 2032 15:26:13.406    10 Apr 2032 15:26:15.667      2.2615931695    Jupiter         Penumbra    30            2235.6424082
10 Apr 2032 15:26:15.667    10 Apr 2032 16:03:23.402      2227.7343698    Jupiter         Umbra       30            2235.6424082
10 Apr 2032 16:03:23.402    10 Apr 2032 16:03:29.048      5.6464451831    Jupiter         Penumbra    30            2235.6424082
11 Apr 2032 03:22:09.374    11 Apr 2032 03:59:11.174      2221.8000434    Jupiter         Umbra       31            2227.4663386
11 Apr 2032 03:59:11.174    11 Apr 2032 03:59:16.840      5.6662952062    Jupiter         Penumbra    31            2227.4663386
