Spacecraft: JupiterExpress_Finite

Start Time (UTC)            Stop Time (UTC)               Duration (s)    Occ Body        Type        Event Number  Total Duration (s)
25 Feb 2032 05:34:04.943    25 Feb 2032 06:36:07.639      3722.6956234    Jupiter         Umbra       1             3722.6956234
25 Feb 2032 08:57:03.736    25 Feb 2032 10:11:30.661      4466.9250677    Jupiter         Umbra       2             4471.3252544
25 Feb 2032 10:11:30.661    25 Feb 2032 10:11:35.061      4.4001867296    Jupiter         Penumbra    2             4471.3252544
25 Feb 2032 12:32:21.660    25 Feb 2032 12:32:25.132      3.4722830169    Jupiter         Penumbra    3             4476.3469381
25 Feb 2032 12:32:25.132    25 Feb 2032 13:46:53.607      4468.4749499    Jupiter         Umbra       3             4476.3469381
25 Feb 2032 13:46:53.607    25 Feb 2032 13:46:58.007      4.3997051893    Jupiter         Penumbra    3             4476.3469381
25 Feb 2032 16:07:43.001    25 Feb 2032 16:07:46.470      3.4697747324    Jupiter         Penumbra    4             4473.5788324
25 Feb 2032 16:07:46.470    25 Feb 2032 17:22:16.579      4470.1090577    Jupiter         Umbra       4             4473.5788324
25 Feb 2032 19:43:04.633    25 Feb 2032 19:43:08.100      3.4661638085    Jupiter         Penumbra    5             4475.0501393
25 Feb 2032 19:43:08.100    25 Feb 2032 20:57:39.684      4471.5839755    Jupiter         Umbra       5             4475.0501393
25 Feb 2032 23:18:30.318    26 Feb 2032 00:33:02.996      4472.6779371    Jupiter         Umbra       6             4477.0741659
26 Feb 2032 00:33:02.996    26 Feb 2032 00:33:07.392      4.3962287949    Jupiter         Penumbra    6             4477.0741659
26 Feb 2032 02:53:53.282    26 Feb 2032 04:08:26.542      4473.2592732    Jupiter         Umbra       7             4473.2592732
26 Feb 2032 06:29:13.506    26 Feb 2032 06:29:16.959      3.4538769862    Jupiter         Penumbra    8             4476.7826460
26 Feb 2032 06:29:16.959    26 Feb 2032 07:43:50.288      4473.3287690    Jupiter         Umbra       8             4476.7826460
26 Feb 2032 10:04:41.137    26 Feb 2032 11:19:14.155      4473.0180711    Jupiter         Umbra       9             4477.4114679
26 Feb 2032 11:19:14.155    26 Feb 2032 11:19:18.548      4.3933967594    Jupiter         Penumbra    9             4477.4114679
26 Feb 2032 13:40:02.040    26 Feb 2032 13:40:05.489      3.4496059874    Jupiter         Penumbra    10            4475.9961435
26 Feb 2032 13:40:05.489    26 Feb 2032 14:54:38.036      4472.5465375    Jupiter         Umbra       10            4475.9961435
26 Feb 2032 17:15:29.680    26 Feb 2032 18:30:01.834      4472.1536145    Jupiter         Umbra       11            4476.5468327
26 Feb 2032 18:30:01.834    26 Feb 2032 18:30:06.227      4.3932182249    Jupiter         Penumbra    11            4476.5468327
26 Feb 2032 20:50:53.453    26 Feb 2032 22:05:25.484      4472.0311021    Jupiter         Umbra       12            4472.0311021
27 Feb 2032 00:26:13.255    27 Feb 2032 00:26:16.703      3.4481865121    Jupiter         Penumbra    13            4475.7202366
27 Feb 2032 00:26:16.703    27 Feb 2032 01:40:48.975      4472.2720501    Jupiter         Umbra       13            4475.7202366
27 Feb 2032 04:01:39.506    27 Feb 2032 05:16:12.351      4472.8446450    Jupiter         Umbra       14            4477.2375822
27 Feb 2032 05:16:12.351    27 Feb 2032 05:16:16.744      4.3929372216    Jupiter         Penumbra    14            4477.2375822
27 Feb 2032 07:37:02.107    27 Feb 2032 08:51:35.703      4473.5953582    Jupiter         Umbra       15            4473.5953582
27 Feb 2032 11:12:24.863    27 Feb 2032 12:26:59.146      4474.2830814    Jupiter         Umbra       16            4474.2830814
27 Feb 2032 14:47:44.712    27 Feb 2032 14:47:48.149      3.4370488487    Jupiter         Penumbra    17            4482.4677100
27 Feb 2032 14:47:48.149    27 Feb 2032 16:02:22.790      4474.6408879    Jupiter         Umbra       17            4482.4677100
27 Feb 2032 16:02:22.790    27 Feb 2032 16:02:27.179      4.3897732627    Jupiter         Penumbra    17            4482.4677100
27 Feb 2032 18:23:12.250    27 Feb 2032 19:37:46.703      4474.4525547    Jupiter         Umbra       18            4474.4525547
27 Feb 2032 21:58:33.847    27 Feb 2032 21:58:37.276      3.4289217554    Jupiter         Penumbra    19            4481.4368459
27 Feb 2032 21:58:37.276    27 Feb 2032 23:13:10.897      4473.6204247    Jupiter         Umbra       19            4481.4368459
27 Feb 2032 23:13:10.897    27 Feb 2032 23:13:15.284      4.3874994619    Jupiter         Penumbra    19            4481.4368459
28 Feb 2032 01:34:03.122    28 Feb 2032 02:48:35.320      4472.1980934    Jupiter         Umbra       20            4472.1980934
28 Feb 2032 05:09:29.494    28 Feb 2032 06:23:59.869      4470.3746655    Jupiter         Umbra       21            4470.3746655
28 Feb 2032 08:44:52.572    28 Feb 2032 08:44:55.999      3.4266246948    Jupiter         Penumbra    22            4476.2343652
28 Feb 2032 08:44:55.999    28 Feb 2032 09:59:24.419      4468.4199330    Jupiter         Umbra       22            4476.2343652
28 Feb 2032 09:59:24.419    28 Feb 2032 09:59:28.807      4.3878074968    Jupiter         Penumbra    22            4476.2343652
28 Feb 2032 12:20:22.239    28 Feb 2032 13:34:48.850      4466.6116912    Jupiter         Umbra       23            4466.6116912
28 Feb 2032 15:55:44.478    28 Feb 2032 15:55:47.911      3.4322064137    Jupiter         Penumbra    24            4472.9927991
