Start Time (UTC)            Stop Time (UTC)               Duration (s)    Occ Body        Type        Event Number  Total Duration (s)
01 Apr 2032 04:18:53.804    01 Apr 2032 05:10:41.715      3107.9111085    Jupiter         Umbra       1             3114.5587005
01 Apr 2032 05:10:41.715    01 Apr 2032 05:10:48.362      6.6475920612    Jupiter         Penumbra    1             3114.5587005
01 Apr 2032 07:43:03.315    01 Apr 2032 08:41:36.064      3512.7485016    Jupiter         Umbra       2             3512.7485016
01 Apr 2032 11:13:53.743    01 Apr 2032 11:13:57.209      3.4660462523    Jupiter         Penumbra    3             3523.3905066
01 Apr 2032 11:13:57.209    01 Apr 2032 12:12:30.489      3513.2804258    Jupiter         Umbra       3             3523.3905066
01 Apr 2032 12:12:30.489    01 Apr 2032 12:12:37.133      6.6440345719    Jupiter         Penumbra    3             3523.3905066
01 Apr 2032 14:44:51.874    01 Apr 2032 15:43:24.993      3513.1197868    Jupiter         Umbra       4             3513.1197868
01 Apr 2032 18:15:43.695    01 Apr 2032 18:15:47.155      3.4598968690    Jupiter         Penumbra    5             3522.5090904
01 Apr 2032 18:15:47.155    01 Apr 2032 19:14:19.559      3512.4042003    Jupiter         Umbra       5             3522.5090904
01 Apr 2032 19:14:19.559    01 Apr 2032 19:14:26.204      6.6449932521    Jupiter         Penumbra    5             3522.5090904
01 Apr 2032 21:46:42.761    01 Apr 2032 22:45:14.156      3511.3951067    Jupiter         Umbra       6             3518.0420500
01 Apr 2032 22:45:14.156    01 Apr 2032 22:45:20.803      6.6469433019    Jupiter         Penumbra    6             3518.0420500
02 Apr 2032 01:17:34.884    02 Apr 2032 01:17:38.347      3.4629646456    Jupiter         Penumbra    7             3520.5152544
02 Apr 2032 01:17:38.347    02 Apr 2032 02:16:08.750      3510.4030381    Jupiter         Umbra       7             3520.5152544
02 Apr 2032 02:16:08.750    02 Apr 2032 02:16:15.399      6.6492516780    Jupiter         Penumbra    7             3520.5152544
02 Apr 2032 04:48:33.604    02 Apr 2032 05:47:03.308      3509.7041269    Jupiter         Umbra       8             3516.3554644
02 Apr 2032 05:47:03.308    02 Apr 2032 05:47:09.960      6.6513375146    Jupiter         Penumbra    8             3516.3554644
02 Apr 2032 08:19:24.885    02 Apr 2032 08:19:28.349      3.4637359902    Jupiter         Penumbra    9             3512.9291786
02 Apr 2032 08:19:28.349    02 Apr 2032 09:17:57.814      3509.4654426    Jupiter         Umbra       9             3512.9291786
