SC_PO.EarthMJ2000Eq.X     SC_PO.EarthMJ2000Eq.Y     SC_PO.EarthMJ2000Eq.Z     SC_PO.ElapsedSecs         
7500                      0                         0                         0                         
7487.233733194873         184.7528046457796         396.2031742498722         59.99999988125637         
7409.885126426513         489.594039320767          1049.928138565083         159.5491223386489         
7252.673104806378         806.8198544218419         1730.186316918363         264.7901314194314         
7017.89843538468          1117.464989144305         2396.28971745327          370.6773418583907         
6708.510506525799         1416.508927474347         3037.456023779935         476.6499241814017         
6327.865758664677         1700.595030136333         3646.472323226907         582.6482003903948         
5879.983129403478         1966.694792252229         4216.830922396675         688.6694368324243         
5369.578927706084         2211.982754233375         4742.461408989836         794.7161449352279         
4802.043637492499         2433.846184261395         5217.751706606047         900.7885290076956         
4183.364824151728         2629.922410758545         5637.62835945289          1006.888793385588         
3520.089894825353         2798.114117803932         5997.589559335099         1113.016453385353         
2819.259848381864         2936.615303495468         6293.760984425993         1219.168768753298         
2088.323024119467         3043.935468899509         6522.947778833904         1325.342897395603         
1335.072878474689         3118.914379582734         6682.666300485453         1431.533490819857         
567.5406644462614         3160.739287367444         6771.181039467127         1537.736230564769         
-206.0710041291734        3168.952464881176         6787.520768675879         1643.94496504683          
-977.4840036953303        3143.458848670431         6731.494838709416         1750.152716017328         
-1738.439158096893        3084.528259159937         6603.697791414004         1856.35219499236          
-2480.795132399154        2992.792048016914         6405.50196152792          1962.536929780617         
-3196.604443117562        2869.237769358592         6139.045834690055         2068.699316633865         
-3878.230883285675        2715.19313501053          5807.199292573723         2174.835089268163         
-4518.400062829155        2532.315938317028         5413.541749221656         2280.938530177809         
-5110.298179985875        2322.571908137324         4962.314262119224         2387.005423998926         
-5647.641279685597        2088.212701024041         4458.371961274766         2493.032542336732         
-6124.750164985062        1831.745315449215         3907.118031811432         2599.019647878595         
-6536.594246598151        1555.909086380887         3314.453999092535         2704.966905328911         
-6878.848168030776        1263.642481064263         2686.708083750635         2810.87613995187          
-7147.931995901333        958.0514500773678         2030.566910093634         2916.750528907869         
-7341.044488623411        642.3757428521851         1353.002848419453         3022.594599367585         
-7456.188037402246        319.9523201226481         661.1951387755043         3128.414851496927         
-7492.182001994609        -5.813352922240867        -37.53206235497052        3234.217633958906         
-7448.675033937026        -331.4828653414481        -735.7863361075845        3340.00924261054          
-7326.143460369252        -653.6301942727894        -1426.204579691065        3445.799128781073         
-7125.887966195553        -968.8579735524048        -2101.488251136934        3551.593755546492         
-6850.015116772952        -1273.847909882688        -2754.511789683473        3657.40177083062          
-6501.421169694342        -1565.383258183584        -3378.371119339575        3763.230216689408         
-6083.763492184752        -1840.384751304549        -3966.460951267403        3869.08541538287          
-5601.424899354701        -2095.942456744481        -4512.543309483867        3974.972933228128         
-5059.46765689562         -2329.34718880184         -5010.815041326618        4080.898080056068         
-4463.601092821292        -2538.112283039969        -5455.95469337334         4186.86261952389          
-3820.116576531741        -2720.006975452312        -5843.194110866345        4292.867010226473         
-3135.813466587643        -2873.083408733695        -6168.376289083796        4398.91197636025          
-2417.938912096999        -2995.694856940831        -6427.994410626939        4504.996790585574         
-1674.12876290357         -3086.513591482282        -6619.230080934164        4611.117161787115         
-912.3014672129209        -3144.551971895549        -6739.998211355211        4717.269155918621         
-140.6018727821145        -3169.172303526381        -6788.967994768635        4823.445171432104         
632.7348975581417         -3160.09802822477         -6765.586295686653        4929.640626150649         
1399.422980692623         -3117.416051162056        -6670.08245146133         5035.846976819448         
2151.269116490382         -3041.575904968942        -6503.465715562631        5142.058995959815         
2880.219079694184         -2933.387052193018        -6267.519150082106        5248.268715839367         
3578.480298640725         -2794.007410864833        -5964.77425101172         5354.470234131441         
4238.591416093927         -2624.93175230657         -5598.485531322448        5460.657501406968         
4853.50296796064          -2427.976430526274        -5172.597140169477        5566.824000212364         
5416.678737254012         -2205.250456763801        -4691.680039186477        5672.967139282264         
5922.137383349731         -1959.139028616134        -4160.89619457362         5779.083731397986         
6364.52806576632          -1692.27255136195         -3585.93143787073         5885.172267816961         
6739.183937173073         -1407.496419222388        -2972.930059430623        5991.233023570385         
7042.165662141373         -1107.840283110125        -2328.42834246628         6097.267664875835         
7270.295760900002         -796.4898293526791        -1659.293524241994        6203.277620009612         
7421.196218802899         -476.7442774175356        -972.6320979332888        6309.266966977157         
7493.303067207184         -151.9871408571379        -275.7266925148452        6415.240337932482         
7485.8804295381           174.3485439166583         424.0389128480195         6521.202716755215         
7399.024075346116         498.8219656436816         1119.269672023313         6627.161422732752         
7233.661259740657         818.0041404404296         1802.601642507048         6733.120926772244         
6991.533528583449         1128.533165251329         2466.820692744365         6839.089479180984         
6675.192133565061         1427.12425745131          3104.884335978642         6945.070906507317         
6287.963811526594         1710.620847281226         3710.031390064433         7051.070306729525         
5833.924924291658         1976.019163156078         4275.834843122454         7157.091148383915         
5317.849902279718         2220.506509191231         4796.283882681716         7263.137968070805         
